SpecCode,PicPreferredName
64588,https://www.fishbase.se/images/species/Prweb_u0.jpg
16239,https://www.fishbase.se/images/species/Aagry_u0.gif
2347,https://www.fishbase.se/images/species/Melab_u0.jpg
62612,https://www.fishbase.se/images/species/Abfil_u0.jpg
9,https://www.fishbase.se/images/species/Abste_u4.jpg
11144,https://www.fishbase.se/images/species/Anana_u2.jpg
16680,https://www.fishbase.se/images/species/Anber_u0.jpg
5402,https://www.fishbase.se/images/species/Ancoc_ud.jpg
7294,https://www.fishbase.se/images/species/Andor_u0.jpg
69666,../static/69666.bmp
27298,https://www.fishbase.se/images/species/Andue_u1.jpg
5403,https://www.fishbase.se/images/species/Annum_u6.jpg
7296,https://www.fishbase.se/images/species/Anros_u0.jpg
13451,https://www.fishbase.se/images/species/Ansan_u0.jpg
62797,../static/62797.bmp
65146,
55145,https://www.fishbase.se/images/species/Ablia_u0.jpg
55143,https://www.fishbase.se/images/species/Abobt_u0.jpg
22903,https://www.fishbase.se/images/species/Abriv_u2.jpg
8049,https://www.fishbase.se/images/species/Abbin_u0.gif
69366,https://www.fishbase.se/images/species/Abgym_u0.jpg
25701,https://www.fishbase.se/images/species/Abmac_u1.jpg
69367,https://www.fishbase.se/images/species/Abpau_u0.jpg
10232,https://www.fishbase.se/images/species/Abtae_u1.jpg
972,https://www.fishbase.se/images/species/Abhia_m0.jpg
46918,https://www.fishbase.se/images/species/Goeth_f0.jpg
70273,
55860,
67299,
24516,https://www.fishbase.se/images/species/Abelo_u1.jpg
24517,
70563,
70275,
24523,https://www.fishbase.se/images/species/Abkem_u1.jpg
70274,
70276,
24524,
67300,
67609,
268,https://www.fishbase.se/images/species/Abbra_ue.jpg
14737,https://www.fishbase.se/images/species/Abequ_u0.jpg
10768,https://www.fishbase.se/images/species/Abhyp_u3.jpg
6652,https://www.fishbase.se/images/species/Ababd_u0.jpg
6517,https://www.fishbase.se/images/species/Abben_u6.jpg
11793,https://www.fishbase.se/images/species/Abcon_u3.jpg
55476,https://www.fishbase.se/images/species/Abcon_u0.jpg
55868,https://www.fishbase.se/images/species/Abdec_u0.jpg
11811,https://www.fishbase.se/images/species/Absax_ua.jpg
5685,https://www.fishbase.se/images/species/Ablor_u2.jpg
11823,https://www.fishbase.se/images/species/Abmar_u0.jpg
11825,https://www.fishbase.se/images/species/Abnat_u0.jpg
69265,
5686,https://www.fishbase.se/images/species/Abnot_u4.jpg
1119,https://www.fishbase.se/images/species/Absax_uc.jpg
5687,https://www.fishbase.se/images/species/Absep_u0.jpg
5688,https://www.fishbase.se/images/species/Absex_u0.jpg
5689,https://www.fishbase.se/images/species/Absor_u6.jpg
8018,https://www.fishbase.se/images/species/Abspa_u1.jpg
1120,https://www.fishbase.se/images/species/Abtau_u2.jpg
8245,https://www.fishbase.se/images/species/Abtro_u2.jpg
6630,https://www.fishbase.se/images/species/Abvai_ub.jpg
9626,https://www.fishbase.se/images/species/Abwhi_u2.jpg
63844,https://www.fishbase.se/images/species/Ablev_u0.jpg
17075,https://www.fishbase.se/images/species/Abgal_u0.gif
70322,
48039,https://www.fishbase.se/images/species/Abelo_m0.gif
70423,
48040,https://www.fishbase.se/images/species/Abgib_m0.gif
47208,https://www.fishbase.se/images/species/Abkor_f0.gif
70424,
70422,
14532,https://www.fishbase.se/images/species/Acbro_u0.jpg
51356,https://www.fishbase.se/images/species/Acspi_f0.jpg
14550,https://www.fishbase.se/images/species/Acvit_u0.gif
56310,
56311,
12559,https://www.fishbase.se/images/species/Acbar_u4.jpg
59262,
59416,
59263,
3357,https://www.fishbase.se/images/species/Acpom_u1.jpg
70292,
3708,https://www.fishbase.se/images/species/Acasp_u2.jpg
60573,https://www.fishbase.se/images/species/Acatr_u0.jpg
46703,https://www.fishbase.se/images/species/Acbal_u0.jpg
47263,
25510,https://www.fishbase.se/images/species/Accas_u1.jpg
3709,
46704,https://www.fishbase.se/images/species/Accro_u2.jpg
46709,https://www.fishbase.se/images/species/Acexi_u1.jpg
47265,https://www.fishbase.se/images/species/Acgre_u0.jpg
46714,https://www.fishbase.se/images/species/Achan_u1.jpg
60576,
65600,https://www.fishbase.se/images/species/Achas_u4.jpg
55035,
46717,https://www.fishbase.se/images/species/Acmac_ua.jpg
60574,https://www.fishbase.se/images/species/Acman_u0.jpg
16485,https://www.fishbase.se/images/species/Acmar_u6.jpg
27905,
54806,https://www.fishbase.se/images/species/Acpau_u2.jpg
47268,
16486,https://www.fishbase.se/images/species/Acspi_u1.jpg
46725,https://www.fishbase.se/images/species/Acste_u8.jpg
50683,https://www.fishbase.se/images/species/Acado_u2.jpg
13268,https://www.fishbase.se/images/species/Achys_u0.jpg
351,https://www.fishbase.se/images/species/Acbra_u2.jpg
12690,https://www.fishbase.se/images/species/Accin_u0.jpg
59850,https://www.fishbase.se/images/species/Acfus_u1.jpg
65330,https://www.fishbase.se/images/species/Acjoa_f0.jpg
15036,https://www.fishbase.se/images/species/Acoce_u1.jpg
15038,
50141,https://www.fishbase.se/images/species/Acbra_u0.jpg
15040,
57960,https://www.fishbase.se/images/species/Acpic_u2.jpg
7920,https://www.fishbase.se/images/species/Acseb_u0.jpg
15042,https://www.fishbase.se/images/species/Acser_u0.jpg
52601,
61854,
4515,https://www.fishbase.se/images/species/Aclis_u2.jpg
52603,https://www.fishbase.se/images/species/Acmar_u2.jpg
48174,https://www.fishbase.se/images/species/Acmic_u3.jpg
67574,
55292,https://www.fishbase.se/images/species/Leper_u1.jpg
26480,https://www.fishbase.se/images/species/Actel_u0.jpg
67573,
55147,
55146,https://www.fishbase.se/images/species/Acurm_u0.jpg
48998,https://www.fishbase.se/images/species/Acnic_u0.jpg
70147,
10354,https://www.fishbase.se/images/species/Acabb_u0.jpg
9216,https://www.fishbase.se/images/species/Acind_u3.jpg
9215,https://www.fishbase.se/images/species/Ackru_u1.jpg
9214,https://www.fishbase.se/images/species/Aclim_u2.jpg
9046,https://www.fishbase.se/images/species/Aclue_u0.gif
51803,https://www.fishbase.se/images/species/Acmic_u2.jpg
6655,https://www.fishbase.se/images/species/Acpol_u0.jpg
9474,https://www.fishbase.se/images/species/Accha_u1.gif
12865,https://www.fishbase.se/images/species/Acfus_u2.jpg
49224,
46323,https://www.fishbase.se/images/species/Acmar_u4.jpg
47430,
46322,
12256,https://www.fishbase.se/images/species/Acbot_u2.jpg
24577,https://www.fishbase.se/images/species/Acmoo_u0.jpg
24585,
66575,
24604,https://www.fishbase.se/images/species/Acrub_u1.jpg
10378,https://www.fishbase.se/images/species/Acuro_u1.jpg
89,https://www.fishbase.se/images/species/Acsol_ua.jpg
47599,https://www.fishbase.se/images/species/Accat_u3.jpg
47598,https://www.fishbase.se/images/species/Acdep_u0.jpg
12103,https://www.fishbase.se/images/species/Acspi_u2.jpg
54894,https://www.fishbase.se/images/species/Acdew_u1.jpg
55978,https://www.fishbase.se/images/species/Acgue_u9.jpg
67583,
3832,https://www.fishbase.se/images/species/Acfla_u0.jpg
13045,https://www.fishbase.se/images/species/Achas_u3.jpg
67376,
23696,https://www.fishbase.se/images/species/Aclac_u0.jpg
55485,https://www.fishbase.se/images/species/Aclur_u0.jpg
22525,
69021,
7633,https://www.fishbase.se/images/species/Acpal_u3.jpg
51500,
25262,https://www.fishbase.se/images/species/Acope_u0.gif
3771,https://www.fishbase.se/images/species/Acmac_u1.gif
8943,https://www.fishbase.se/images/species/Acarm_u0.gif
63150,
67314,https://www.fishbase.se/images/species/Aclat_u5.jpg
8109,https://www.fishbase.se/images/species/Acaus_u1.jpg
5526,https://www.fishbase.se/images/species/Acber_u9.jpg
25606,https://www.fishbase.se/images/species/Rhhon_u0.jpg
55893,
55887,https://www.fishbase.se/images/species/Acimb_u0.jpg
62799,
66125,
61168,
70257,
55149,
9528,
58200,
54380,https://www.fishbase.se/images/species/Acmac_u6.jpg
59969,
25817,
56321,https://www.fishbase.se/images/species/Acmer_u0.jpg
56320,
67550,
55890,
61918,
55892,
55148,
22891,https://www.fishbase.se/images/species/Acrho_m1.jpg
65458,
22892,https://www.fishbase.se/images/species/Actab_u0.jpg
61857,
54709,https://www.fishbase.se/images/species/Acton_u0.jpg
22897,
25607,https://www.fishbase.se/images/species/Acyam_m2.jpg
25162,https://www.fishbase.se/images/species/Acleu_ud.jpg
25164,https://www.fishbase.se/images/species/Acmel_u1.jpg
7119,https://www.fishbase.se/images/species/Actri_u2.gif
7572,https://www.fishbase.se/images/species/Acach_u4.jpg
12594,https://www.fishbase.se/images/species/Aemac_u0.jpg
12597,https://www.fishbase.se/images/species/Aemil_u0.gif
10120,https://www.fishbase.se/images/species/Aenic_u3.jpg
12599,https://www.fishbase.se/images/species/Aeves_u0.jpg
9916,
11077,
67127,
57010,https://www.fishbase.se/images/species/Afsup_u0.jpg
52422,
13258,https://www.fishbase.se/images/species/Agalb_u1.jpg
12104,https://www.fishbase.se/images/species/Agpec_u1.jpg
61379,https://www.fishbase.se/images/species/Gaimb_u1.jpg
70248,
62421,
65046,
50346,
70076,
70077,
47969,https://www.fishbase.se/images/species/Agine_u1.jpg
70066,
70075,
53701,https://www.fishbase.se/images/species/Agmag_u1.jpg
4543,https://www.fishbase.se/images/species/Acbif_u0.jpg
14601,https://www.fishbase.se/images/species/Acbut_u2.jpg
67289,https://www.fishbase.se/images/species/Accat_u7.jpg
63767,https://www.fishbase.se/images/species/Acaus_u0.jpg
67331,https://www.fishbase.se/images/species/Aclat_u7.jpg
6356,https://www.fishbase.se/images/species/Aclat_u1.jpg
67330,https://www.fishbase.se/images/species/Acmor_u0.jpg
65370,https://www.fishbase.se/images/species/Acber_u6.jpg
65896,https://www.fishbase.se/images/species/Acpac_u1.jpg
8110,
65100,
6531,https://www.fishbase.se/images/species/Acsch_u5.jpg
67333,https://www.fishbase.se/images/species/Aclat_u4.jpg
6583,https://www.fishbase.se/images/species/Acsiv_u0.jpg
63153,
65558,
67665,
58053,https://www.fishbase.se/images/species/Acech_u0.jpg
17444,https://www.fishbase.se/images/species/Achia_u0.jpg
8004,https://www.fishbase.se/images/species/Acind_u1.jpg
69338,
65019,
59172,https://www.fishbase.se/images/species/Acpsi_u0.jpg
48774,
8836,
26858,https://www.fishbase.se/images/species/Acdel_u0.jpg
26859,https://www.fishbase.se/images/species/Acgra_u1.jpg
26913,
26860,https://www.fishbase.se/images/species/Achap_u0.gif
23006,https://www.fishbase.se/images/species/Acmol_u1.jpg
65707,
23008,
46831,https://www.fishbase.se/images/species/Acgra_m0.jpg
25311,https://www.fishbase.se/images/species/Acleu_uk.jpg
23363,https://www.fishbase.se/images/species/Acgui_u0.gif
23370,https://www.fishbase.se/images/species/Acnot_u1.jpg
4287,https://www.fishbase.se/images/species/Acpol_ub.jpg
92,https://www.fishbase.se/images/species/Acqua_u4.jpg
4306,https://www.fishbase.se/images/species/Acach_u8.jpg
68166,https://www.fishbase.se/images/species/Acalb_u4.jpg
13770,https://www.fishbase.se/images/species/Acalb_u0.jpg
4748,https://www.fishbase.se/images/species/Acaur_u2.jpg
68792,https://www.fishbase.se/images/species/Acbah_u4.jpg
4307,https://www.fishbase.se/images/species/Acbar_u0.jpg
4750,https://www.fishbase.se/images/species/Acblo_u0.jpg
943,https://www.fishbase.se/images/species/Acchi_u2.jpg
6010,https://www.fishbase.se/images/species/Acchr_f0.gif
944,https://www.fishbase.se/images/species/Accoe_u0.jpg
1256,https://www.fishbase.se/images/species/Acdus_u4.jpg
4745,https://www.fishbase.se/images/species/Acfow_u2.jpg
17471,https://www.fishbase.se/images/species/Acgah_u1.jpg
4749,https://www.fishbase.se/images/species/Acgra_u4.jpg
4736,https://www.fishbase.se/images/species/Acgut_u0.jpg
23375,https://www.fishbase.se/images/species/Acjap_u5.jpg
4741,https://www.fishbase.se/images/species/Acleu_u0.jpg
4737,https://www.fishbase.se/images/species/Acleu_um.jpg
1257,https://www.fishbase.se/images/species/Acleu_ui.jpg
1258,https://www.fishbase.se/images/species/Aclin_ud.jpg
4746,https://www.fishbase.se/images/species/Acmac_u5.jpg
1255,https://www.fishbase.se/images/species/Acmat_u5.jpg
1800,https://www.fishbase.se/images/species/Acmon_u5.jpg
6011,https://www.fishbase.se/images/species/Acnig_u0.jpg
4747,https://www.fishbase.se/images/species/Acnig_um.jpg
4739,https://www.fishbase.se/images/species/Acnig_uq.jpg
4738,https://www.fishbase.se/images/species/Acnig_uk.jpg
4733,https://www.fishbase.se/images/species/Acnub_u1.jpg
4744,https://www.fishbase.se/images/species/Acoli_u8.jpg
4732,https://www.fishbase.se/images/species/Acpol_ua.jpg
4742,https://www.fishbase.se/images/species/Acpyr_u2.jpg
3905,https://www.fishbase.se/images/species/Acran_u0.jpg
58792,https://www.fishbase.se/images/species/Acoli_u4.jpg
4740,https://www.fishbase.se/images/species/Acsoh_u0.jpg
1259,https://www.fishbase.se/images/species/Acten_u7.jpg
4734,https://www.fishbase.se/images/species/Actho_u4.jpg
942,https://www.fishbase.se/images/species/Acbah_u0.jpg
1260,https://www.fishbase.se/images/species/Actri_u9.jpg
12782,https://www.fishbase.se/images/species/Actri_u3.jpg
1261,https://www.fishbase.se/images/species/Acxan_u6.jpg
23015,https://www.fishbase.se/images/species/Accho_u1.jpg
68515,
68516,
62902,
23017,https://www.fishbase.se/images/species/Acoct_u0.jpg
68514,
66460,https://www.fishbase.se/images/species/Acspe_u0.jpg
60780,https://www.fishbase.se/images/species/Acthi_u1.jpg
11272,https://www.fishbase.se/images/species/Actan_u0.jpg
12258,https://www.fishbase.se/images/species/Achec_u5.jpg
59465,
12260,https://www.fishbase.se/images/species/Acnas_u2.jpg
46568,https://www.fishbase.se/images/species/Acvul_m0.jpg
17032,https://www.fishbase.se/images/species/Acaud_u0.jpg
4894,https://www.fishbase.se/images/species/Accan_u4.jpg
66879,https://www.fishbase.se/images/species/Accen_u0.jpg
54133,https://www.fishbase.se/images/species/Acchl_u0.jpg
25062,https://www.fishbase.se/images/species/Accya_u4.jpg
46432,https://www.fishbase.se/images/species/Acday_u0.jpg
56720,
27549,
25229,
23581,https://www.fishbase.se/images/species/Acjan_m0.jpg
68732,https://www.fishbase.se/images/species/Aclim_f0.jpg
25230,https://www.fishbase.se/images/species/Acmad_u2.jpg
25232,
