SpecCode,Genus,Species,SpeciesRefNo,FBname
64588,Aapticheilichthys,websteri,78622.0,
16239,Aaptosyax,grypus,10431.0,Giant salmon carp
2347,Abactochromis,labrosus,85491.0,
62612,Abalistes,filamentosus,54835.0,
9,Abalistes,stellatus,9770.0,Starry triggerfish
11144,Abantennarius,analis,6773.0,Tailjet frogfish
16680,Abantennarius,bermudensis,5521.0,Island frogfish
5402,Abantennarius,coccineus,6773.0,Scarlet frogfish
7294,Abantennarius,dorehensis,6773.0,New Guinean frogfish
69666,Abantennarius,drombus,125554.0,Freckled frogfish
27298,Abantennarius,duescus,6773.0,Side-jet frogfish
5403,Abantennarius,nummifer,6773.0,Spotfin frogfish
7296,Abantennarius,rosaceus,1602.0,Spiny-tufted frogfish
13451,Abantennarius,sanguineus,9269.0,Bloody frogfish
62797,Abbottina,binhi,84795.0, Rusty Loach
65146,Abbottina,lalinensis,81932.0, Lalin’s frilly barb
55145,Abbottina,liaoningensis,33792.0, Liaoning False Gudgeon
55143,Abbottina,obtusirostris,33792.0,
22903,Abbottina,rivularis,559.0,Chinese false gudgeon
8049,Ablabys,binotatus,5499.0,Redskinfish
69366,Ablabys,gymnothorax,123539.0,Scaleless spiny waspfsh
25701,Ablabys,macracanthus,11303.0,Spiny waspfish
69367,Ablabys,pauciporus,123539.0,Lesser-scaled cockatoo waspfsh
10232,Ablabys,taenianotus,2334.0,Cockatoo waspfish
972,Ablennes,hians,9682.0,Flat needlefish
46918,Aboma,etheostoma,51797.0,Scaly boy
70273,Aborichthys,barapensis,128991.0,
55860,Aborichthys,boutanensis,104179.0,
67299,Aborichthys,cataracta,95164.0,
24516,Aborichthys,elongatus,4832.0,
24517,Aborichthys,garoensis,4832.0,
70563,Aborichthys,iphipaniensis,130888.0,
70275,Aborichthys,kailashi,128990.0,
24523,Aborichthys,kempi,39226.0,
70274,Aborichthys,palinensis,128992.0,
70276,Aborichthys,pangensis,128990.0,
24524,Aborichthys,tikaderi,4832.0,
67300,Aborichthys,verticauda,95164.0,
67609,Aborichthys,waikhomi,95217.0,
268,Abramis,brama,59043.0,Freshwater bream
14737,Abramites,eques,9743.0,
10768,Abramites,hypselonotus,9743.0,Marbled headstander
6652,Abudefduf,abdominalis,7247.0,Green damselfish
6517,Abudefduf,bengalensis,7247.0,Bengal sergeant
11793,Abudefduf,concolor,7247.0,
55476,Abudefduf,conformis,33558.0,
55868,Abudefduf,declivifrons,11482.0,Mexican nightsergeant
11811,Abudefduf,hoefleri,7247.0,African sergeant
5685,Abudefduf,lorenzi,7247.0,Black-tail sergeant
11823,Abudefduf,margariteus,7247.0,Pearly sergeant
11825,Abudefduf,natalensis,7247.0,Natal sergeant
69265,Abudefduf,nigrimargo,123195.0,Black margined-scale sergeant
5686,Abudefduf,notatus,7247.0,Yellowtail sergeant
1119,Abudefduf,saxatilis,7247.0,Sergeant-major
5687,Abudefduf,septemfasciatus,7247.0,Banded sergeant
5688,Abudefduf,sexfasciatus,7247.0,Scissortail sergeant
5689,Abudefduf,sordidus,7247.0,Blackspot sergeant
8018,Abudefduf,sparoides,7247.0,False-eye sergeant
1120,Abudefduf,taurus,7247.0,Night sergeant
8245,Abudefduf,troschelii,7247.0,Panamic sergeant major
6630,Abudefduf,vaigiensis,7247.0,Indo-Pacific sergeant
9626,Abudefduf,whitleyi,7247.0,Whitley's sergeant
63844,Abyssoberyx,levisquamosus,75592.0,
17075,Abyssobrotula,galatheae,3686.0,Galathea cuskeel
70322,Abyssobrotula,hadropercularis,110276.0,
48039,Abyssocottus,elochini,26334.0,Elokhin sculpin
70423,Abyssocottus,fuscus,130169.0,Brownish sculpin
48040,Abyssocottus,gibbosus,26334.0,Hump-back [White] sculpin
47208,Abyssocottus,korotneffi,2058.0,Small-eyed sculpin
70424,Abyssocottus,pumilus,130169.0,Dwarf deep-water sculpin
70422,Abyssocottus,subulatus,130169.0,Fusiform sculpin
14532,Acanthaluteres,brownii,9563.0,Spiny-tailed leatherjacket
51356,Acanthaluteres,spilomelanurus,9002.0,Bridled leatherjacket
14550,Acanthaluteres,vittiger,9563.0,Toothbrush leatherjacket
56310,Acanthanectes,hystrix,35802.0,
56311,Acanthanectes,rufus,27223.0,
12559,Acanthaphritis,barbata,43239.0,
59262,Acanthaphritis,grandisquamis,36648.0,
59416,Acanthaphritis,ozawai,35911.0,
59263,Acanthaphritis,unoorum,36648.0,
3357,Acantharchus,pomotis,5723.0,Mud sunfish
70292,Acanthemblemaria,aceroi,123111.0,Blue-spotted barnacle blenny
3708,Acanthemblemaria,aspera,7251.0,Roughhead blenny
60573,Acanthemblemaria,atrata,81029.0,Cocos barnacle blenny
46703,Acanthemblemaria,balanorum,11482.0,Clubhead blenny
47263,Acanthemblemaria,betinensis,26280.0,Speckled blenny
25510,Acanthemblemaria,castroi,11482.0,Galapagos barnacle blenny
3709,Acanthemblemaria,chaplini,7251.0,Papillose blenny
46704,Acanthemblemaria,crockeri,11482.0,Browncheek blenny
46709,Acanthemblemaria,exilispinus,11482.0,Bluntspine blenny
47265,Acanthemblemaria,greenfieldi,26280.0,False papillose blenny
46714,Acanthemblemaria,hancocki,11482.0,Hancock's blenny
60576,Acanthemblemaria,harpeza,46206.0,
65600,Acanthemblemaria,hastingsi,84469.0,Cortez barnacle blenny
55035,Acanthemblemaria,johnsoni,33407.0,Black barnacle blenny
46717,Acanthemblemaria,macrospilus,11482.0,Barnacle blenny
60574,Acanthemblemaria,mangognatha,81029.0,Revillagigedo barnacle
16485,Acanthemblemaria,maria,5521.0,Secretary blenny
27905,Acanthemblemaria,medusa,13628.0,Medusa blenny
54806,Acanthemblemaria,paula,13293.0,Dwarf spinyhead blenny
47268,Acanthemblemaria,rivasi,26280.0,Spotjaw blenny
16486,Acanthemblemaria,spinosa,5521.0,Spinyhead blenny
46725,Acanthemblemaria,stephensi,11482.0,Malpelo barnacle blenny
50683,Acanthicus,adonis,6868.0,
13268,Acanthicus,hystrix,36713.0,
351,Acanthistius,brasilianus,7392.0,Argentine seabass
12690,Acanthistius,cinctus,5755.0,Yellowbanded perch
59850,Acanthistius,fuscus,40817.0,Rapanui seabass
65330,Acanthistius,joanae,83528.0,Scalyjaw koester
15036,Acanthistius,ocellatus,7300.0,Eastern wirrah
15038,Acanthistius,pardalotus,7300.0,Leopard wirrah
50141,Acanthistius,patachonicus,27363.0,
15040,Acanthistius,paxtoni,7300.0,Orangelined wirrah
57960,Acanthistius,pictus,9068.0,Brick seabass
7920,Acanthistius,sebastoides,4319.0,Koester
15042,Acanthistius,serratus,7300.0,Western wirrah
52601,Acanthobrama,centisquama,33550.0,Orontes bream
61854,Acanthobrama,hadiyahensis,97573.0,
4515,Acanthobrama,lissneri,13609.0,
52603,Acanthobrama,marmid,33550.0,Tigris bream
48174,Acanthobrama,microlepis,89834.0,Blackbrow bleak
67574,Acanthobrama,orontis,97573.0,
55292,Acanthobrama,persidis,31728.0,Persian chub
26480,Acanthobrama,telavivensis,11028.0,
67573,Acanthobrama,thisbeae,97573.0,
55147,Acanthobrama,tricolor,58342.0,
55146,Acanthobrama,urmianus,97573.0,Urmia Lake chub
48998,Acanthobunocephalus,nicoi,26643.0,
70147,Acanthobunocephalus,scruggsi,128881.0,
10354,Acanthocepola,abbreviata,6192.0,Bandfish
9216,Acanthocepola,indica,127963.0,
